LotArea,LotFrontage,LotShape,LotConfig,LandContour,LandSlope,Neighborhood,OverallQual,OverallCond,ExterQual,ExterCond,BsmtQual,BsmtCond,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,KitchenQual,Fireplaces,FireplaceQu,GarageArea,GarageQual,GarageCond,WoodDeckSF,PoolArea,YrSold,SalePrice,AgeSinceRemod/Add,TotRms,PorchArea,LocationRank,OverallQualCond,ExterQualCond,BsmtQualCond,GarageQualCond
13517,69,IR1,CulDSac,Lvl,Gtl,Sawyer,6,8,4,3,3,3,725,5,1,1479,4,0,0,475,3,3,0,0,2010,130500,5,7,44,1,48,12,9,9
11492,43,IR1,CulDSac,Lvl,Gtl,SawyerW,7,5,4,3,4,3,913,5,1,2122,4,1,3,559,3,3,0,0,2009,220000,12,9,74,3,35,12,12,9
7922,68,Reg,Inside,Lvl,Gtl,NAmes,5,7,3,4,3,3,1057,3,1,1057,4,0,0,246,3,3,0,0,2010,109000,3,6,52,2,35,12,9,9
9802,73,Reg,Inside,Lvl,Gtl,Timber,5,5,3,3,4,3,384,4,1,1444,3,0,0,400,3,3,100,0,2010,174000,3,7,0,3,25,9,12,9
14235,82,IR1,Inside,Lvl,Gtl,SawyerW,6,8,3,3,2,4,676,3,1,1445,3,0,0,484,3,3,0,0,2010,138500,17,6,59,3,48,9,8,9
16492,137,IR1,Corner,Lvl,Gtl,NAmes,6,6,4,3,3,3,1517,5,1,1888,4,1,4,578,3,3,0,0,2010,190000,8,6,0,2,36,12,9,9
3675,35,Reg,Inside,Lvl,Gtl,Edwards,6,5,3,3,4,3,547,4,1,1072,3,0,0,525,3,3,0,0,2006,140000,0,6,44,1,30,9,12,9
12160,69,IR1,Inside,Lvl,Gtl,NAmes,5,5,3,3,3,3,1188,2,1,1188,3,0,0,531,3,3,0,0,2010,142000,51,6,0,2,25,9,9,9
15783,69,Reg,Inside,Lvl,Gtl,OldTown,5,5,3,3,3,3,924,3,1,924,3,0,0,420,3,3,0,0,2007,112500,55,4,324,2,25,9,9,9
11606,70,IR1,Inside,HLS,Sev,NAmes,5,5,3,3,4,3,1040,3,1,2080,2,2,3,504,3,3,335,0,2007,135000,38,10,0,2,25,9,12,9
1680,21,Reg,Inside,Lvl,Gtl,BrDale,6,5,3,3,3,3,483,3,1,987,3,0,0,264,3,3,0,0,2008,85400,37,5,0,1,30,9,9,9
7488,64,IR1,Inside,Lvl,Gtl,CollgCr,7,5,4,3,4,3,1208,5,1,1208,4,0,0,632,3,3,105,0,2006,183600,1,5,58,3,35,12,12,9
26400,120,Reg,FR2,Bnk,Gtl,SawyerW,5,7,4,3,0,0,0,5,1,2016,3,1,3,576,3,3,0,0,2009,131000,2,6,0,3,35,12,0,9
2645,24,Reg,Inside,Lvl,Gtl,Somerst,8,5,4,3,4,3,960,5,1,1607,4,0,0,480,3,3,169,0,2008,200000,8,8,0,4,40,12,12,9
9627,74,Reg,Inside,Lvl,Gtl,CollgCr,7,5,4,3,4,3,1351,5,1,1361,4,0,0,610,3,3,0,0,2008,193000,1,6,50,3,35,12,12,9
10114,93,Reg,Inside,Lvl,Gtl,Mitchel,5,5,3,3,5,3,1430,5,1,1430,4,0,0,624,3,3,0,0,2010,173500,5,6,0,2,25,9,15,9
4571,34,Reg,Inside,Lvl,Gtl,OldTown,5,5,3,3,3,3,624,2,0,1344,3,0,0,513,2,2,0,0,2008,98000,58,6,96,2,25,9,9,4
8816,80,Reg,Corner,Lvl,Gtl,Sawyer,5,6,3,3,3,3,1121,3,1,1121,3,0,0,480,3,3,0,0,2009,139000,46,6,80,1,30,9,9,9
8197,71,Reg,Inside,Lvl,Gtl,Sawyer,6,5,3,3,3,3,660,5,1,1285,3,1,3,528,3,3,138,0,2007,143500,30,6,0,1,30,9,9,9
8640,72,Reg,Inside,Lvl,Gtl,Somerst,7,5,3,3,4,3,756,5,1,1547,4,0,0,614,3,3,169,0,2010,215200,1,7,45,4,35,9,12,9
8724,109,Reg,Inside,Lvl,Gtl,Sawyer,5,5,3,3,4,3,894,4,1,894,3,1,1,450,3,3,0,0,2007,129000,39,5,0,1,25,9,12,9
5664,40,IR1,Inside,Lvl,Gtl,StoneBr,8,5,4,3,4,3,1501,5,1,1659,5,1,5,499,3,3,212,0,2009,278000,9,6,59,4,40,12,12,9
12867,103,IR1,Corner,Lvl,Gtl,NridgHt,8,5,4,3,5,3,1209,5,1,2253,5,1,4,575,3,3,243,0,2006,344133,0,7,142,4,40,12,15,9
7980,69,IR1,Inside,Lvl,Gtl,Gilbert,6,7,3,4,4,3,1168,5,1,1187,3,0,0,420,3,3,483,0,2010,185000,3,7,21,2,42,12,12,9
34650,100,Reg,Inside,Bnk,Gtl,Gilbert,5,5,3,3,3,3,1056,3,0,1056,3,0,0,572,3,3,264,0,2006,145000,51,6,0,2,25,9,9,9
10573,92,IR1,Corner,Lvl,Gtl,NAmes,6,6,3,3,3,3,1453,5,1,1453,3,1,3,530,3,3,0,0,2009,187500,48,7,337,2,36,9,9,9
8450,65,Reg,Inside,Lvl,Gtl,Sawyer,5,8,3,4,3,3,894,5,1,894,3,1,4,336,3,3,416,0,2010,138500,1,6,144,1,40,12,9,9
11700,69,IR1,Inside,HLS,Mod,Crawfor,5,6,3,3,3,3,942,5,1,1938,4,1,4,240,3,3,0,0,2008,198000,13,7,40,3,30,9,9,9
8250,75,Reg,Inside,Lvl,Gtl,IDOTRR,5,6,3,4,3,3,957,2,0,1991,3,0,0,0,0,0,0,0,2007,119600,1,8,133,1,30,12,9,0
8064,60,Reg,Corner,Lvl,Gtl,NAmes,5,7,3,4,3,3,672,5,1,924,3,1,1,576,3,3,0,0,2007,122900,1,5,0,2,35,12,9,9
9600,80,Reg,Inside,Lvl,Gtl,NWAmes,8,5,4,3,4,3,2524,3,1,2524,4,1,4,542,3,3,474,0,2009,278000,28,9,120,3,40,12,12,9
11435,69,IR1,Corner,HLS,Mod,Crawfor,8,7,3,3,4,3,792,2,1,1517,4,2,4,400,3,3,0,0,2006,230000,56,5,0,3,56,9,12,9
9549,30,IR1,CulDSac,Lvl,Gtl,Veenker,8,5,4,4,4,4,1494,5,1,1494,5,1,4,481,3,3,0,0,2006,270000,10,6,246,4,40,16,16,9
10950,60,Reg,Inside,Lvl,Gtl,NAmes,6,6,3,3,3,3,948,3,1,948,3,0,0,410,3,3,0,0,2007,125000,55,4,48,2,36,9,9,9
10637,79,Reg,Inside,Lvl,Gtl,CollgCr,8,5,4,3,5,3,1705,5,1,1718,4,1,4,826,3,3,208,0,2009,297000,1,7,44,3,40,12,15,9
9000,80,IR1,Inside,HLS,Mod,NAmes,6,6,3,3,4,3,160,2,1,1142,3,1,4,384,3,3,0,0,2009,113500,51,4,92,2,36,9,12,9
2665,41,Reg,Inside,Lvl,Gtl,MeadowV,5,6,3,3,3,3,757,5,1,1475,3,1,3,336,3,3,104,0,2006,127000,29,7,26,1,30,9,9,9
11751,105,IR1,Inside,Lvl,Gtl,NWAmes,6,6,3,3,4,3,1844,5,1,1844,3,1,3,546,3,3,0,0,2010,190000,33,6,122,3,36,9,12,9
9600,80,Reg,Inside,Lvl,Gtl,NWAmes,7,6,3,3,3,3,1242,2,1,1242,3,1,3,528,3,3,0,0,2007,175500,34,6,0,3,42,9,9,9
8428,60,IR2,Inside,Lvl,Gtl,CollgCr,5,7,3,4,4,4,990,5,1,990,3,0,0,384,3,3,256,0,2007,146000,13,6,0,3,35,12,16,9
9937,75,Reg,Inside,Lvl,Gtl,Edwards,5,6,4,3,3,3,1256,4,1,1256,3,0,0,276,3,3,736,0,2008,147500,43,7,68,1,30,12,9,9
13891,107,Reg,Inside,Lvl,Gtl,NridgHt,10,5,5,3,5,4,2076,5,1,2076,5,1,4,850,3,3,216,0,2006,465000,0,7,229,4,50,15,20,9
9101,69,IR1,Corner,Lvl,Gtl,Mitchel,5,6,3,4,4,3,1097,5,1,1110,4,1,3,602,3,3,303,0,2009,165500,31,4,30,2,30,12,12,9
12150,81,Reg,Inside,Lvl,Gtl,OldTown,5,5,3,3,3,3,1050,5,0,1795,3,0,0,352,2,3,0,0,2008,131500,54,7,0,2,25,9,9,6
11200,70,Reg,Inside,Lvl,Gtl,Sawyer,5,5,3,3,3,3,1040,5,1,1040,3,0,0,384,3,3,0,0,2008,129500,43,6,0,1,25,9,9,9
9670,100,IR1,Inside,HLS,Mod,Crawfor,8,6,3,3,3,2,608,3,1,1873,3,2,4,786,2,3,0,0,2008,257076,58,7,207,3,48,9,6,6
10998,60,Reg,Inside,Lvl,Gtl,Edwards,5,5,3,3,3,3,984,5,1,1604,3,0,0,660,3,3,0,0,2009,117000,49,6,68,1,25,9,9,9
7200,60,Reg,Inside,HLS,Mod,Crawfor,7,6,3,2,4,3,776,3,1,1502,3,1,4,270,3,3,0,0,2008,149000,8,6,112,3,42,6,12,9
9920,80,Reg,Inside,Lvl,Gtl,NAmes,5,5,3,3,3,3,1056,3,1,1063,3,0,0,280,3,3,0,0,2010,128000,56,6,164,2,25,9,9,9
2448,36,Reg,Inside,Lvl,Gtl,NridgHt,7,5,4,3,4,3,764,5,1,1626,4,0,0,474,3,3,0,0,2008,155000,4,6,27,4,35,12,12,9
2998,69,Reg,Inside,Lvl,Gtl,Somerst,6,5,4,3,4,3,756,5,1,1524,4,0,0,440,3,3,0,0,2006,166000,6,6,32,4,30,12,12,9
7804,65,Reg,Inside,Lvl,Gtl,SWISU,4,3,3,3,3,3,1122,3,1,1981,4,2,3,576,3,3,431,0,2009,135000,59,8,44,1,12,9,9,9
16692,80,IR1,Inside,Lvl,Gtl,NWAmes,7,5,3,3,4,3,1392,3,1,2784,4,2,3,564,3,3,0,519,2006,250000,28,11,552,3,35,9,12,9
1476,21,Reg,Inside,Lvl,Gtl,MeadowV,4,7,3,3,3,3,546,5,1,1092,3,0,0,0,0,0,200,0,2010,76000,40,6,26,1,28,9,9,0
10170,75,Reg,Corner,Lvl,Gtl,NAmes,6,6,3,3,3,3,216,3,1,1575,4,1,4,400,3,3,0,0,2006,155000,55,5,0,2,36,9,9,9
9364,80,Reg,Corner,Lvl,Gtl,Sawyer,6,7,3,3,3,3,663,3,1,1352,3,0,0,299,3,3,379,0,2010,158000,41,7,36,1,42,9,9,9
2544,24,Reg,Inside,Lvl,Gtl,Somerst,7,5,4,3,4,3,600,5,1,1200,4,0,0,480,3,3,0,0,2010,149500,5,7,172,4,35,12,12,9
9888,82,Reg,Inside,Lvl,Gtl,NAmes,5,6,3,4,3,3,936,3,1,936,3,0,0,240,3,3,0,0,2006,121000,31,4,160,2,30,12,9,9
7942,68,Reg,Inside,Lvl,Gtl,NAmes,6,7,3,3,3,3,1040,3,1,1040,3,0,0,293,3,3,0,0,2007,136000,54,6,0,2,42,9,9,9
15038,69,IR2,Corner,Lvl,Gtl,Gilbert,6,5,3,3,4,3,916,4,1,1636,3,1,3,386,3,3,168,0,2008,173000,12,7,84,2,30,9,12,9
11764,92,IR1,CulDSac,Lvl,Gtl,NoRidge,8,7,4,3,4,3,1152,5,1,2270,4,1,4,671,3,3,132,0,2010,290000,3,8,57,4,56,12,12,9
9000,75,Reg,Inside,Lvl,Gtl,Somerst,8,5,4,3,4,3,1184,5,1,2610,5,1,4,550,3,3,208,0,2007,303477,0,8,364,4,40,12,12,9
20062,69,IR1,Inside,Low,Mod,ClearCr,7,7,4,4,4,3,1420,4,1,1483,3,2,3,690,3,3,496,0,2010,270000,9,5,0,1,49,16,12,9
7308,81,Reg,Corner,Lvl,Gtl,OldTown,5,5,2,2,3,3,936,4,0,1740,5,1,4,225,2,2,0,0,2008,122250,58,4,236,2,25,4,9,4
8750,70,Reg,Inside,Lvl,Gtl,NAmes,5,5,3,3,3,3,1382,4,1,1382,4,0,0,350,3,3,280,0,2009,153000,54,6,0,2,25,9,9,9
8402,70,Reg,Inside,Lvl,Gtl,Mitchel,5,5,3,3,4,3,1120,5,1,1120,3,0,0,0,0,0,0,0,2007,147000,0,5,30,2,25,9,12,0
4000,63,Reg,Inside,Lvl,Gtl,Crawfor,7,8,3,3,4,3,531,3,1,1098,3,1,4,216,3,3,0,0,2007,148500,12,5,0,3,56,9,12,9
3363,32,Reg,Inside,Lvl,Gtl,Edwards,7,5,4,3,4,3,976,5,1,1708,4,0,0,380,3,3,0,0,2006,130000,2,6,40,1,35,12,12,9
13615,94,IR1,Corner,HLS,Mod,NridgHt,9,5,5,3,5,3,1802,5,1,1802,5,1,4,843,3,3,158,0,2007,372000,1,7,105,4,45,15,15,9
3013,43,Reg,Inside,Lvl,Gtl,Blmngtn,7,5,4,3,4,3,1362,5,1,1506,4,1,4,440,3,3,142,0,2006,213490,1,5,20,4,35,12,12,9
17485,44,IR2,Inside,Lvl,Gtl,Edwards,7,5,4,3,4,3,1508,5,1,1508,4,2,3,572,3,3,0,0,2010,308030,0,4,0,1,35,12,12,9
23730,69,IR2,Inside,Lvl,Gtl,Mitchel,7,5,4,3,5,3,1840,5,1,2032,4,0,0,786,3,3,0,0,2008,300000,11,8,238,2,35,12,15,9
8910,79,Reg,Corner,Lvl,Gtl,NAmes,6,6,3,3,3,3,655,5,1,1194,3,1,2,539,3,3,0,0,2006,159500,47,6,192,2,36,9,9,9
2522,24,Reg,Inside,Lvl,Gtl,Edwards,7,5,4,3,4,3,970,5,1,1709,4,0,0,380,3,3,0,0,2006,137500,2,6,40,1,35,12,12,9
